Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping
DEL,GOI,2017-10-21T10:40:00Z,10:40,13:40,7646.0,6100.0,1331.0,IndiGo,5,3h 0m,Economy,329,6E,6E_329_,False
DEL,GOI,2017-10-21T11:05:00Z,11:05,13:30,8719.0,8075.0,478.0,Air India,2,2h 25m,Economy,156,AI,AI_156_,False
DEL,GOI,2017-10-21T08:25:00Z,08:25,17:40,10251.0,9555.0,480.0,Spicejet,9,9h 15m,Economy,473_ 2789,SG,SG_473_ 2789_,False
DEL,GOI,2017-10-21T11:30:00Z,11:30,16:40,10927.0,9225.0,1487.0,IndiGo,5,5h 10m,Economy,957_ 419,6E,6E_957_ 419_,False
DEL,GOI,2017-10-21T09:00:00Z,09:00,11:40,11334.0,10450.0,668.0,Vistara,9,2h 40m,Economy,855,UK,UK_855_,False
DEL,BOM,2017-10-21T17:00:00Z,17:00,19:20,12283.0,11400.0,717.0,Air India,5,5h 20m,Economy,102,AI,AI_102_AI_683_,False
DEL,BOM,2017-10-21T21:00:00Z,21:00,23:10,12283.0,11400.0,717.0,Air India,3,6h 20m,Economy,191,AI,AI_191_AI_33_,False
DEL,BOM,2017-10-21T15:10:00Z,15:10,18:25,12283.0,11400.0,717.0,Air India,1,7h 10m,Economy,636,AI,AI_636_AI_683_,False
DEL,BOM,2017-10-21T13:00:00Z,13:00,15:10,12283.0,11400.0,717.0,Air India,9,9h 20m,Economy,863,AI,AI_863_AI_683_,True
DEL,BOM,2017-10-21T17:00:00Z,17:00,19:20,12283.0,11400.0,717.0,Air India,5,10h 20m,Economy,102,AI,AI_102_AI_33_,True
DEL,BOM,2017-10-21T15:10:00Z,15:10,18:25,12283.0,11400.0,717.0,Air India,1,12h 10m,Economy,636,AI,AI_636_AI_33_,True
DEL,BOM,2017-10-21T13:00:00Z,13:00,15:10,12283.0,11400.0,717.0,Air India,9,14h 20m,Economy,863,AI,AI_863_AI_33_,True
DEL,BOM,2017-10-21T03:50:00Z,03:50,05:55,12283.0,11400.0,717.0,Air India,9,18h 30m,Economy,349,AI,AI_349_AI_683_,False
DEL,BOM,2017-10-21T23:00:00Z,23:00,01:15,12283.0,11400.0,717.0,Air India,9,23h 20m,Economy,315,AI,AI_315_AI_683_,True
DEL,BOM,2017-10-21T03:50:00Z,03:50,05:55,12283.0,11400.0,717.0,Air India,9,23h 30m,Economy,349,AI,AI_349_AI_33_,False
DEL,BLR,2017-10-21T13:25:00Z,13:25,16:15,12464.0,11425.0,719.0,Air India,9,4h 50m,Economy,502,AI,AI_502_AI_993_,False
DEL,BLR,2017-10-21T09:45:00Z,09:45,12:30,12464.0,11425.0,719.0,Air India,9,8h 30m,Economy,506,AI,AI_506_AI_993_,False
DEL,BOM,2017-10-21T13:00:00Z,13:00,15:10,12598.0,11700.0,732.0,Air India,9,5h 5m,Economy,863,AI,AI_863_AI_661_,False
DEL,BOM,2017-10-21T03:50:00Z,03:50,05:55,12598.0,11700.0,732.0,Air India,9,14h 15m,Economy,349,AI,AI_349_AI_661_,False
DEL,BOM,2017-10-21T23:00:00Z,23:00,01:15,12598.0,11700.0,732.0,Air India,9,19h 5m,Economy,315,AI,AI_315_AI_661_,True
DEL,BOM,2017-10-21T21:00:00Z,21:00,23:10,12598.0,11700.0,732.0,Air India,3,21h 5m,Economy,191,AI,AI_191_AI_661_,True
DEL,BOM,2017-10-21T15:10:00Z,15:10,18:25,12598.0,11700.0,732.0,Air India,1,26h 55m,Economy,636,AI,AI_636_AI_661_,True
DEL,BOM,2017-10-21T20:00:00Z,20:00,22:15,12808.0,11900.0,742.0,Air India,8,7h 20m,Economy,805,AI,AI_805_AI_33_,False
DEL,BOM,2017-10-21T19:00:00Z,19:00,21:15,12808.0,11900.0,742.0,Air India,5,8h 20m,Economy,624,AI,AI_624_AI_33_,False
DEL,BOM,2017-10-21T18:00:00Z,18:00,20:10,12808.0,11900.0,742.0,Air India,1,9h 20m,Economy,24,AI,AI_24_AI_33_,True
DEL,BOM,2017-10-21T10:00:00Z,10:00,12:15,12808.0,11900.0,742.0,Air India,5,12h 20m,Economy,865,AI,AI_865_AI_683_,True
DEL,BOM,2017-10-21T09:00:00Z,09:00,11:10,12808.0,11900.0,742.0,Air India,6,13h 20m,Economy,678,AI,AI_678_AI_683_,True
DEL,BOM,2017-10-21T08:00:00Z,08:00,10:10,12808.0,11900.0,742.0,Air India,5,14h 20m,Economy,665,AI,AI_665_AI_683_,True
DEL,BOM,2017-10-21T07:00:00Z,07:00,09:05,12808.0,11900.0,742.0,Air India,5,15h 20m,Economy,887,AI,AI_887_AI_683_,True
DEL,BOM,2017-10-21T10:00:00Z,10:00,12:15,12808.0,11900.0,742.0,Air India,5,17h 20m,Economy,865,AI,AI_865_AI_33_,True
DEL,BOM,2017-10-21T09:00:00Z,09:00,11:10,12808.0,11900.0,742.0,Air India,6,18h 20m,Economy,678,AI,AI_678_AI_33_,True
DEL,BOM,2017-10-21T08:00:00Z,08:00,10:10,12808.0,11900.0,742.0,Air India,5,19h 20m,Economy,665,AI,AI_665_AI_33_,True
DEL,BOM,2017-10-21T07:00:00Z,07:00,09:05,12808.0,11900.0,742.0,Air India,5,20h 20m,Economy,887,AI,AI_887_AI_33_,True
DEL,BLR,2017-10-21T06:10:00Z,06:10,09:10,12826.0,11425.0,719.0,Air India,9,12h 5m,Economy,803,AI,AI_803_AI_993_,True
